timestamp;evento;clase;car_in;car_out;moto_in;moto_out;car_inv;moto_inv;modelo;conf;orientacion;pos_linea;invertido;fuente
2025-09-18T03:00:26.241003;IN;car;1;0;0;0;1;0;yolo11n.pt;0.30;vertical;0.50;False;C:\Users\CAMILO\Desktop\Semestre_2_espe\Desarrollo_de_proyectos\Contador de vehiculos/videos/prueba1.MP4
2025-09-18T03:00:31.458596;IN;car;1;0;0;0;2;0;yolo11n.pt;0.30;vertical;0.50;False;C:\Users\CAMILO\Desktop\Semestre_2_espe\Desarrollo_de_proyectos\Contador de vehiculos/videos/prueba1.MP4
2025-09-18T03:00:41.971802;IN;car;1;0;0;0;3;0;yolo11n.pt;0.30;vertical;0.50;False;C:\Users\CAMILO\Desktop\Semestre_2_espe\Desarrollo_de_proyectos\Contador de vehiculos/videos/prueba1.MP4
2025-09-18T03:00:43.447326;SUMMARY;-;3;0;0;0;3;0;yolo11n.pt;0.30;vertical;0.50;False;C:\Users\CAMILO\Desktop\Semestre_2_espe\Desarrollo_de_proyectos\Contador de vehiculos/videos/prueba1.MP4
